name,status,about_tech,about,email,url,employees,revenue,city,bootstrapped,open_source,org_type,start_date,request,hiring,other
FlexPort,,,The technology platform for global logistics.,,FlexPort.com,,,,,,private,2013-01-01,,TRUE,
Fosterful,,,"Fosterful provides snacks, therapeutic toys, luggage, clothing & a trained, caring companion to children entering foster care.",,fosterful.org,,,,,,,,,,
games.directory,,"Ruby on Rails, Stimulus, Hotwire, StimulusReflex, TailwindCSS, AWS",,info@games.directory,https://games.directory,1,,Newcastle-under-Lyme,,,,2015-05-05,,FALSE,
Get on Board,,,The best jobs in technology in Latin America©and remote. We filter and select all jobs so you don't have to.,,getonbrd.com/,,,,,,Type of Business,,,FALSE,
Github,,"The AI-powered developer platform to build, scale, and deliver secure software.",,,github.com,,200000000,,,,,,,TRUE,
GitLab,,,Build software faster. The DevSecOps Platform enables your entire organization to collaborate around your code.,,www.gitlab.com,1419,150,,,,public,,,FALSE,
Goodreads,,,Goodreads is the world’s largest site for readers and book recommendations. Our mission is to help readers discover books they love and get more out of reading. Goodreads launched in January 2007.,,https://www.goodreads.com/,,,,,,public,2006-01-12,,TRUE,
GoRails,,,"Ruby on Rails screencasts for aspiring developers

",,gorails.com,3,,,,,bootstrapped,,,FALSE,
Groupon,,,,,groupon.com,6345,1400000000,,,,Public,,,TRUE,
Gympass,,,Gympass is a fitness discovery platform connecting the world's network of fitness facilities to companies and its employees.,,https://site.gympass.com/us/,,,New York,,,private,,,TRUE,
HaulingBuddies,,"Ruby on Rails, Ruby, Stimulus, JavaScript ",Get your animal transport business noticed with Hauling Buddies! Our directory puts your business on the map and helps you reach new customers.,,https://haulingbuddies.com/,1,,,,,,,,FALSE,
HelpTails,,,No-code marketing automation for SaaS Collect feedback (with embeddable forms) and broadcast messages to your customers.,,https://helptail.com/,,,,,,Type of Business,,,FALSE,
Heroku,,"Ruby, Ruby on Rails, Amazon EC2, Amazon CloudFront",,,https://www.heroku.com,,,San Francisco,,,,2007-01-01,,TRUE,
Honeybadger,,"Ruby on Rails, Ruby, JavaScript, ",Honeybadger is an application health monitoring tool built by developers for developers. We give you everything you need to keep production happy — and nothing you don't.,,https://www.honeybadger.io/,,,,,,,,,TRUE,
HookRelay,,,"Get reliable webhook delivery, with debugging and logging, in minutes.",,https://www.hookrelay.dev/,,,,,,Type of Business,,,FALSE,
Hulu,,,,,www.hulu.com,,,Santa Monica,,,Public,,,FALSE,
HumanEssentials.app,,,,,humanessentials.app/,,,,,,,,,,
Insider,,,"Insider enables marketers to connect customer data across channels, predict behavior with AI and individualize cross-channel experiences.",,https://useinsider.com/,,,Singapore,,,private,,,TRUE,
Instacart,,,,,https://www.instacart.com/,,,San Francisco,,,private,2012-01-01,,TRUE,
Intuit,,,"Intuit offers business and financial management solutions for SMBs, financial institutions, consumers, and accounting professionals",,https://www.intuit.com/,,,"Mountain View, California",,,Type of Business,,,TRUE,
Jam,,,,,https://business.hellojam.fr/,,,France,,,private,,,FALSE,
Jinshuju,,"Ruby on Rails, JavaScript, React, Mongodb, AWS",,,https://jinshuju.net,100,,China,,,,2012-12-15,,TRUE,
Jumpstart,,"Ruby on Rails, Ruby, JS"," Build products faster and cheaper in Ruby on Rails Jumpstart 
",,https://jumpstartrails.com/,3,,,,,bootstrapped,,,FALSE,
Kennesaw State University,,,,,kennesaw.edu,,,Kennesaw,,,,,,FALSE,
Kickstarter,,"Ruby on Rails, Ruby, jQuery, MySQL, Amazon S3, Redis, Amazon EC2,",,,https://www.kickstarter.com/,,,"Brooklyn , New York",,,,2007-01-01,,TRUE,
King Saud University,,,,,ksu.edu.sa,,,Riyadh,,,,,,FALSE,
King Saud University,,,,,ksu.edu.sa,,,,,,,,,,
kino.de,,,Know what's going on whether In the cinema or stream.,,https://www.kino.de/,,,,,,Type of Business,,,FALSE,
knowyourmeme.com,,,,,knowyourmeme.com,,,,,,,,,,
kohls.com,,,,,kohls.com,,,,,,,,,,
kroger.com,,,,,kroger.com,,,,,,,,,,
Learn To Be,,,,,learntobe.org/,,,,,,,,,,
Lime,,,Lime helps people move around their cities in an affordable and convenient way while eliminating their carbon footprint.,,https://www.li.me/,,,San Francisco,,,private,,,TRUE,
ManageIq,,,"Discover, Optimize, and Control your Hybrid IT
Manage containers, virtual machines, networks, and storage from a single platform",,manageiq.org/,,,,,,,,,FALSE,
Mastodon,,https://github.com/mastodon/mastodon,https://github.com/mastodon/mastodon,,joinmastodon.org/,,,,,,,,,FALSE,
Membership,,,,,community.debtcollective.org,,,,,,,,,,
monetiza.app,,,"Acelera tus ventas con whatsapp Centraliza la comunicaciÃ³n de tus vendedores mientras aumentas su productividad, control y desempeÃ±o",,https://www.monetiza.app/,,,,,,,,,,
Mugshot Bot,,,,joe@masilotti.com,Mugshotbot.com,,200,"Portland, OR",,,Private,,,FALSE,
MyTime,,"Ruby on Rails, SQL, ",,,https://www.mytime.com/,25,,San Francisco,,,,2013-01-01,,TRUE,
nasdaq.com,,,,,nasdaq.com,,,,,,,,,,
nature.com,,,,,nature.com,,,,,,,,,,
netdna-ssl.com,,,,,netdna-ssl.com,,,,,,,,,,
Network for Good,,,,,networkforgood.com,,,Washington,,,,,,FALSE,
network-auth.com,,,,,network-auth.com,,,,,,,,,,
New York City Department of Education,,,,,nyc.gov,,,New York City,,,,,,FALSE,
news9.com,,,,,news9.com,,,,,,,,,,
newyorker.com,,,,,newyorker.com,,,,,,,,,,
NJ Cybersecurity and Communications Integration Cell,,,,,nj.gov,,,Trenton,,,,,,FALSE,
Nobu Group LLC,,,,,noburestaurants.com,,,Chicago,,,,,,FALSE,
Nokia,,,,,nokia.com,,,,,,,,,FALSE,
Northern Illinois University,,,,,niu.edu,,,Dekalb,,,,,,FALSE,
Notion Backups,,"Ruby on Rails, JavaScript, Redis, SQLite, Ubuntu Linux!",,hello@notionbackups.com,https://notionbackups.com,0,,Internets,,,,,,FALSE,
Novartis Pharma AG,,,,,novartis.com,,,,,,,,,FALSE,
npr.org,,,,,npr.org,,,,,,,,,,
Nsite,,,,,ondemand.com,,,,,,,,,FALSE,
Nuance Communications  Inc.,,,,,nuance.com,,,Burlington,,,,,,FALSE,
Nusii,,,"Online proposal software for creative businesses. Check out our free email course, 'Write better proposals in 5 days",,https://nusii.com/,,,,,,Type of Business,,,FALSE,
Nvidia,,,,,nvidia.com,,,Santa Clara,,,,,,FALSE,
nvidia.com,,,,,nvidia.com,,,,,,,,,,
nyc.gov,,,,,nyc.gov,,,,,,,,,,
nydailynews.com,,,,,nydailynews.com,,,,,,,,,,
Oâ€™Reilly Automotive,,,,,oreillyauto.com,,,,,,,,,,
ok.ru,,,,,ok.ru,,,,,,,,,,
Old Cars Weekly,,,,,oldcarsweekly.com,,,Iola,,,,,,FALSE,
One.com,,,,,one.com,,,Paris 08,,,,,,FALSE,
OneSignal,,,"Customer Messaging Delivered: The market leading self-serve customer engagement solution for Push Notifications, Email, SMS & In-App.",,https://onesignal.com/,,,"Mountain View, California",,,Type of Business,,,TRUE,
Open Food Network,,https://github.com/openfoodfoundation/openfoodnetwork,"Connect suppliers, distributors and consumers to trade local produce.",,https://openfoodnetwork.org/,,,,,,,,,FALSE,
Orbit Irrigation Products,,,,,orbitonline.com,,,North Salt Lake,,,,,,FALSE,
oreillyauto.com,,,,,oreillyauto.com,,,,,,,,,,
orlandosentinel.com,,,,,orlandosentinel.com,,,,,,,,,,
oup.com,,,,,oup.com,,,,,,,,,,
Overdue,,,"Overdue integrates directly into your SaaS product adding failed payment recovery, cancellation analytics and net promoter score boosting retention and increasing lifetime value.",,http://useoverdue.com/,,,,,,Type of Business,,,FALSE,
Oxford University Press,,,,,oup.com,,,New York City,,,,,,FALSE,
paris.fr,,,Official Paris Website,,https://www.paris.fr/,,,,,,Type of Business,,,FALSE,
PASS Training & Compiance,,,,contact@passtesting.com,passtesting.com,9,,"Muncie, IN USA",,,Private,2005-01-01,,FALSE,
Pluralsight,,,"Pluralsight is a technology learning platform for software developers, IT admins, and creative professionals.",,https://www.pluralsight.com/,,,"Draper, Utah",,,private,,,TRUE,
Podia,,"Ruby on Rails 6.1, 
PostgreSQL, Stimulus, StimulusReflex, CableReady, Turbo, and React (in that order of most to least often used).
Webpacker, Bootstrap, ViewComponent, ES6, and yarn to manage our UI code.
Sidekiq, Heroku",,,https://www.podia.com/,,,New York,,,,,,TRUE,
Policy Tenlegs LLC,,,,,calarts.edu,,,Valencia,,,,,,FALSE,
Practo,,,Say goodbye to doubts and say hello to India's top doctors with Practo's video consultation #HelloDoctor,,https://www.practo.com/,,,India,,,private,,,FALSE,
Prey,,,DEVICE TRACKING & PROTECTION ON AUTO-PILOT.,,https://preyproject.com/,,,,,,Type of Business,,,FALSE,
ProcessKit,,,Turn client onboarding into a profit-center. ProcessKit helps your agency onboard clients successfully at scale.,,processkit.com/,,,,,,Type of Business,,,FALSE,
ProductHunt/AngelList,,,The place to discover your next favorite thing.,,https://www.producthunt.com/,,,,,,Type of Business,,,FALSE,
railsdevs,,,The reverse job board for Rails developers,,railsdevs.com,,,,,,bootstrapped,,,FALSE,
Renuo AG,,"Ruby On Rails, React, Flutter",,hello@renuo.ch,https://www.renuo.ch/,16,,Wallisellen,,,private,2012-01-01,,FALSE,
Rickyelaro,,,,,https://freedhts.fun/a touch toodeep,,,,,,,,,,
Ritual,,,"The future of health is clear. Made traceable, backed by the first visible supply chain of its kind. ⁣ Shop today",,www.ritual.com,108,189,Los Angeles,,,Private,,,FALSE,
Robot Corp,,,,,neu.edu,,,Boston,,,,,,FALSE,
Ruby For Good,,,,,rubyforgood.org,,,,,,,,,,
Runtastatic,,,Runtastic is a mobile fitness company,,https://www.runtastic.com/,,,Austria,,,public,,,FALSE,
SafeAccess,,,A Health & Safety Platform for a Safe Return to In-Person Experiences,,safeaccess360.com/,,,,,,Type of Business,,,FALSE,
SchoolMaker,,"Ruby on rails, Vue",,,https://schoolmaker.com,,,,,,,,,FALSE,
Shopify,,,Shopify powers millions of businesses worldwide,,www.shopify.com,5000,2900,,,,Public,,,FALSE,
Silverfin,,,"The all-in-one commerce platform to start, run, and grow a business.",youp.vanrensbergen@silverfin.com,https://www.silverfin.com/,200,,Remote,,,,2021-11-15,,TRUE,
simple.org,,,,,simple.org/,,,,,,,,,,
SoundCloud,,,SoundCloud is an online audio distribution platform and music sharing website,,https://soundcloud.com/,,,,,,Type of Business,,,FALSE,
Spinup,,,"Deploying and hosting your project is still too complicated. We have one goal: make deploying and hosting your project as simple as possible. SpinUp is free to start and use right away. With more advanced use, you will need the Standard Plan for a small maintenance fee.",,https://spinup.dev/,,,,,,,,,,
Stackshare,,,StackShare is on a mission to connect every developer in the world with the right tools and the companies using them.,,https://stackshare.io/,,,,,,Type of Business,,,FALSE,
StartupsOnRails,,"Ruby on Rails, Ruby, Heroku, PostgreSQL, Amazon AWS, StimulusJS","Ruby on Rails, Ruby, Heroku, PostgreSQL, Amazon AWS, StimulusJS",,StartupsOnRails.com,1,,Torrance,,,bootstrapped,2021-09-01,,FALSE,
State University of New York College at Brockport,,,,,brockport.edu,,,Brockport,,,,,,FALSE,
Stitch Fix,,,Stitch Fix is a personal styling platform that delivers curated and personalized apparel and accessory items for women.,,https://www.stitchfix.com/,,,San Francisco,,,public,,,TRUE,
Strava,,,"Strava is an online network where runners and cyclists can record their activities, compare performance, and compete with their community.",,https://www.strava.com/careers,,,San Francisco,,,private,,,TRUE,
Superdocu,,"Ruby on Rails, Stimulus, Turbo",,team@superdocu.com,superdocu.com,,,Paris,,,bootstrapped,2021-01-06,,FALSE,
Ted.com,,,,,ted.com,,,,,,private,1984-11-11,,FALSE,
Telekom Deutschland GmbH,,,,,telekom.de,,,Bonn,,,,,,FALSE,
TELUS,,,,,telus.com,,,Richmond Southeast,,,,,,FALSE,
Terrastories,,,,,terrastories.io,,,,,,,,,,
Test Company,,,,,startuposonrails.com,,,,,,,,,,
Testkit,,,"Radically simplified E2E and Visual Regression Testing With Testkit, end-to-end testing is as easy as navigating through your app like a user would do. No more code, no more hassle.",,https://testkit.app/,,,,,,Type of Business,,,FALSE,
Texas Tech University,,,,,ttu.edu,,,Lubbock,,,,,,FALSE,
The Debt Collective,,,,,debtcollective.org/,,,,,,,,,,
The Ohio State University,,,,,ohio-state.edu,,,Columbus,,,,,,FALSE,
thegatewaypundit.com,,,,,thegatewaypundit.com,,,,,,,,,,
TIM SA,,,,,tim.com.br,,,Santo Andre,,,,,,FALSE,
tmz.com,,,,,tmz.com,,,,,,,,,,
tophatter.com,,,,,tophatter.com,,,,,,,,,,
Transistor.fm,,"Ruby on Rails, Ruby , Alpine.js , AWS",,,https://transistor.fm/,5,,,,,,2018-08-01,,FALSE,
tripadvisor.com,,,,,tripadvisor.com,,,,,,,,,,
Truecar,,,,,Truecar.com,,,,,,public,2005-01-01,,TRUE,
Tufts University,,,,,tufts.edu,,,Medford,,,,,,FALSE,
Twitch,,,,,https://www.twitch.tv/,,,,,,Type of Business,,,FALSE,
University of Dublin  Trinity College,,,,,tcd.ie,,,,,,,,,FALSE,
Urbandictionary,,,,,Urbandictionary.com,,,,,,private,,,FALSE,
Wealthsimple,,,Wealthsimple offers financial tools to help investors grow and manage their money.,,https://www.wealthsimple.com/,,,,,,,,,,
Wefunder,,,,,wefunder.com,,,,,,,,,,
welcomehomes,,,"Build the home you want, where you want for a guaranteed, all-in price. Customized to your liking.",,http://welcomehomes.com/,,,,,,Type of Business,,,TRUE,
Within3,,,,,within3.com,,,,,,,,,,
Zendesk,,,Zendesk is a customer service platform that develops a software to empower organization and customer relationships.,,https://www.zendesk.com/,,,,,,public,,,FALSE,
ZipMessage,,,"A video messaging tool for async conversations Video, voice, and screen conversations without live meetings. Async video messaging software, made for remote work.",,https://zipmessage.com/,,,,,,Type of Business,,,FALSE,
Gumroad,,,"Sell digital products, memberships, courses, community access, newsletters, and more. Over $800M earned by creators since 2011.",,https://gumroad.com/,,,,,,,,,,
ConvertKit,,,The creator marketing platform helping creators earn a living online.,,https://convertkit.com/,,,,,,,,,,
hey.com,,,Email’s been broken for years. It’s overwhelming and a total mess. Not anymore. We fixed it.,,https://www.hey.com/,,,,,,,,,,
dev.to,,,DEV is a community of software developers getting together to help one another out. The software industry relies on collaboration and networked learning. We provide a place for that to happen.,,dev.to,,,,,,,,,,
AppSignal,,,"APM for Ruby, Elixir & Node.js.",,https://www.appsignal.com/,,,,,,,,,,
